Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
AstraZeneca;AZN.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shell;SHEL.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSBC;HSBA.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unilever;ULVR.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BP;BP.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSK;GSK.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diageo;DGE.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio Tinto;RIO.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAT;BATS.L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
